Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-soziodemographie.json	15171	-	0	0	0	0	0	0	16	47	0	0	0	0	0	0	0	1	0	0	15	178	204	0	0	0	7	0	1
fsh-generated/resources/CodeSystem-mii-cs-sdd-ausbildung.json	1741	3	0	0	1	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	5	21	112	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-berufliche-stellung-lang.json	1882	1	0	0	1	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	3	19	75	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-berufliche-stellung-minimal.json	1159	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	3	13	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-beschaeftigungsstatus-lang.json	2276	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	19	75	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-beschaeftigungsstatus-minimal.json	1437	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	14	70	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-betreuungssituation.json	1231	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	12	86	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-einkommen.json	1411	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	12	61	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-erhebungsmethode.json	1072	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	11	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-laendercodes-sonder.json	1047	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	9	55	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-merkzeichen.json	1507	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	16	59	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-schulabschluss.json	1771	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	18	94	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-schwerbehindertenausweis.json	1149	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	13	63	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-mii-lm-sdd.json	11807	6	0	42	0	0	0	0	0	109	0	0	0	0	0	0	0	1	0	0	14	261	1272	0	1	0	14	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-ausbildung.json	1779	1	0	116	0	0	0	0	0	37	0	0	0	0	0	0	0	1	0	0	1	215	1017	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-mii-pr-sdd-berufliche-stellung.json	3353	2	0	62	1	0	0	0	0	45	0	0	0	0	0	0	0	1	0	0	0	272	1106	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-beschaeftigungsstatus.json	4332	3	0	61	0	0	0	0	0	37	0	0	0	0	0	0	0	2	0	0	1	297	935	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-betreuungssituation.json	3126	2	0	89	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	0	226	789	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-datenerhebung.json	12181	6	0	66	0	0	0	0	1	108	0	0	0	0	0	0	0	1	0	0	1	498	1162	0	0	0	26	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-einkommen.json	1586	1	0	31	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	0	191	614	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-geburtsland-mutter.json	3587	3	0	67	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	275	1180	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-mii-pr-sdd-geburtsland-vater.json	3597	2	0	44	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	1	293	633	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-haushaltsgroesse.json	1503	1	0	30	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	200	504	0	0	0	8	1	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-lebenssituation.json	3326	2	0	2	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	265	504	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-mii-pr-sdd-partnerschaft.json	2080	1	0	31	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	1	205	540	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-schulabschluss.json	1804	2	0	34	0	0	0	0	0	24	0	0	1	0	0	0	0	1	0	0	0	205	513	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-schuljahre.json	1564	1	0	31	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	191	399	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-schwerbehindertenausweis.json	6980	3	0	51	1	0	0	0	0	81	0	0	0	0	0	0	0	1	0	0	0	477	1604	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-mii-pr-sdd-soziooekonomische-faktoren.json	2869	1	0	2	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	0	238	400	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-mii-pr-sdd-vertrauensperson.json	2187	2	0	33	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	1	205	368	0	0	0	7	1	1
fsh-generated/resources/ValueSet-mii-vs-sdd-ausbildung.json	882	0	0	0	0	0	0	0	1	65	0	0	0	0	0	0	0	0	0	0	2	9	92	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-berufliche-stellung-lang.json	984	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	9	74	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-berufliche-stellung-minimal.json	1002	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	2	8	67	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-beschaeftigungsstatus-lang.json	996	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	7	66	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-beschaeftigungsstatus-minimal.json	1014	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	8	59	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-betreuungssituation.json	936	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	8	60	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-einkommen.json	876	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	7	60	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-erhebungsmethode.json	918	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	7	57	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-laendercodes.json	1047	1	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	1	11	638	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-merkzeichen.json	888	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	8	56	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mii-vs-sdd-schulabschluss.json	906	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	7	56	0	0	0	0	0	0
/input/includes/menu.xml	5252	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	3213	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/logical-models.md	532	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/examples.md	367	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/search-parameters-and-operations.md	1293	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/changes.md	420	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/guidance.md	6355	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
