Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-soziodemographie.json	22602	-	0	0	0	0	0	0	17	59	0	0	1	0	0	0	0	1	0	0	24	165	331	0	0	0	8	0	2
fsh-generated/resources/CodeSystem-mii-cs-sdd-ausbildung.json	1776	2	0	0	1	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	9	16	114	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-berufliche-stellung-lang.json	1917	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	9	15	90	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-berufliche-stellung-minimal.json	1194	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	12	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-beschaeftigungsstatus-lang.json	2311	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	19	81	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-beschaeftigungsstatus-minimal.json	1472	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	5	13	73	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-betreuungssituation.json	1266	1	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	12	103	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-einkommen.json	1446	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	12	71	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-erhebungsmethode.json	1107	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	4	12	62	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-laendercodes-sonder.json	1082	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	10	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-merkzeichen.json	1542	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	13	67	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-schulabschluss.json	1806	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	5	13	62	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-schwerbehindertenausweis.json	1184	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	11	55	0	0	0	1	0	0
