Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-mii-ig-soziodemographie.json	22602	-	0	0	0	0	0	0	15	52	0	0	0	0	0	0	0	1	0	0	26	175	307	0	0	0	5	0	1
fsh-generated/resources/CodeSystem-mii-cs-sdd-ausbildung.json	1776	3	0	0	2	0	1	0	1	10	0	0	0	0	0	0	0	0	0	0	11	22	115	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-berufliche-stellung-lang.json	1917	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	22	99	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-berufliche-stellung-minimal.json	1194	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	15	86	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-beschaeftigungsstatus-lang.json	2311	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	24	90	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-beschaeftigungsstatus-minimal.json	1472	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	17	76	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-betreuungssituation.json	1266	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	15	104	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-einkommen.json	1446	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	17	67	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-erhebungsmethode.json	1107	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	12	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-laendercodes-sonder.json	1082	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	13	56	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-mii-cs-sdd-merkzeichen.json	1542	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	16	62	0	0	0	3	0	0
